origin,destination,distance
1,1,0.0
1,2,576.9631
1,3,946.4954
1,4,597.5972
1,5,373.8127
1,6,559.7673
1,7,709.0215
1,8,1208.328
1,9,603.6477
1,10,695.208
1,11,680.709
1,12,1936.572
1,13,332.4644
1,14,592.5679
1,15,908.7715
1,16,426.1877
1,17,756.1987
1,18,672.5906
1,19,1590.224
1,20,527.3008
2,1,576.9631
2,2,0.0
2,3,369.5327
2,4,613.0386
2,5,429.1079
2,6,312.8831
2,7,1196.489
2,8,1502.14
2,9,405.8975
2,10,1241.961
2,11,960.3459
2,12,2318.076
2,13,786.5959
2,14,949.5669
2,15,938.7461
2,16,999.5005
2,17,179.2426
2,18,96.2744
2,19,1999.584
2,20,210.7656
3,1,946.4954
3,2,369.5327
3,3,0.0
3,4,858.3308
3,5,749.6018
3,6,556.0706
3,7,1541.273
3,8,1764.791
3,9,621.3306
3,10,1603.165
3,11,1250.962
3,12,2600.078
3,13,1137.335
3,14,1266.851
3,15,1124.778
3,16,1368.267
3,17,190.3157
3,18,274.3105
3,19,2299.429
3,20,494.2224
4,1,597.5972
4,2,613.0386
4,3,858.3308
4,4,0.0
4,5,255.0303
4,6,311.3071
4,7,790.1213
4,8,907.4331
4,9,237.0703
4,10,932.2173
4,11,406.3386
4,12,1741.873
4,13,485.5564
4,14,1186.858
4,15,345.8738
4,16,830.3635
4,17,720.4687
4,18,675.3437
4,19,1447.104
4,20,403.8657
5,1,373.8127
5,2,429.1079
5,3,749.6018
5,4,255.0303
5,5,0.0
5,6,225.8954
5,7,794.1726
5,8,1080.374
5,9,238.944
5,10,879.5647
5,11,533.156
5,12,1889.528
5,13,402.3291
5,14,947.3188
5,15,598.541
5,16,700.4368
5,17,578.3286
5,18,512.3965
5,19,1570.725
5,20,255.6551
6,1,559.7673
6,2,312.8831
6,3,556.0706
6,4,311.3071
6,5,225.8954
6,6,0.0
6,7,1009.689
6,8,1216.868
6,9,94.2588
6,10,1104.574
6,11,694.9153
6,12,2047.122
6,13,627.115
6,14,1084.5
6,15,626.1548
6,16,922.3181
6,17,409.3542
6,18,365.6853
6,19,1743.432
6,20,104.6478
7,1,709.0215
7,2,1196.489
7,3,1541.273
7,4,790.1213
7,5,794.1726
7,6,1009.689
7,7,0.0
7,8,663.8762
7,9,982.7378
7,10,221.422
7,11,447.8044
7,12,1249.763
7,13,411.1133
7,14,1097.608
7,15,851.8228
7,16,423.7053
7,17,1362.874
7,18,1288.966
7,19,895.0908
7,20,1049.266
8,1,1208.328
8,2,1502.14
8,3,1764.791
8,4,907.4331
8,5,1080.374
8,6,1216.868
8,7,663.8762
8,8,0.0
8,9,1143.791
8,10,874.5181
8,11,551.6299
8,12,841.624
8,13,880.0728
8,14,1714.651
8,15,694.0088
8,16,1066.563
8,17,1625.87
8,18,1574.822
8,19,593.4216
8,20,1301.511
9,1,603.6477
9,2,405.8975
9,3,621.3306
9,4,237.0703
9,5,238.944
9,6,94.2588
9,7,982.7378
9,8,1143.791
9,9,0.0
9,10,1094.906
9,11,636.9045
9,12,1978.943
9,13,620.488
9,14,1151.868
9,15,535.0244
9,16,936.2502
9,17,489.5645
9,18,453.2583
9,19,1682.489
9,20,198.9058
10,1,695.208
10,2,1241.961
10,3,1603.165
10,4,932.2173
10,5,879.5647
10,6,1104.574
10,7,221.422
10,8,874.5181
10,9,1094.906
10,10,0.0
10,11,642.2092
10,12,1375.635
10,13,477.459
10,14,963.7202
10,15,1046.119
10,16,305.3132
10,17,1417.072
10,18,1337.648
10,19,1017.332
10,20,1125.041
11,1,680.709
11,2,960.3459
11,3,1250.962
11,4,406.3386
11,5,533.156
11,6,694.9153
11,7,447.8044
11,8,551.6299
11,9,636.9045
11,10,642.2092
11,11,0.0
11,12,1358.213
11,13,378.5906
11,14,1236.192
11,15,405.0906
11,16,674.479
11,17,1096.712
11,18,1038.645
11,19,1048.539
11,20,768.1641
12,1,1936.572
12,2,2318.076
12,3,2600.078
12,4,1741.873
12,5,1889.528
12,6,2047.122
12,7,1249.763
12,8,841.624
12,9,1978.943
12,10,1375.635
12,11,1358.213
12,12,0.0
12,13,1608.082
12,14,2335.816
12,15,1530.57
12,16,1661.778
12,17,2453.352
12,18,2396.794
12,19,358.3762
12,20,2125.512
13,1,332.4644
13,2,786.5959
13,3,1137.335
13,4,485.5564
13,5,402.3291
13,6,627.115
13,7,411.1133
13,8,880.0728
13,9,620.488
13,10,477.459
13,11,378.5906
13,12,1608.082
13,13,0.0
13,14,858.251
13,15,700.8213
13,16,348.2725
13,17,955.6191
13,18,879.9795
13,19,1265.573
13,20,651.1179
14,1,592.5679
14,2,949.5669
14,3,1266.851
14,4,1186.858
14,5,947.3188
14,6,1084.5
14,7,1097.608
14,8,1714.651
14,9,1151.868
14,10,963.7202
14,11,1236.192
14,12,2335.816
14,13,858.251
14,14,0.0
14,15,1500.774
14,16,675.7505
14,17,1098.282
14,18,1021.611
14,19,1977.613
14,20,1015.165
15,1,908.7715
15,2,938.7461
15,3,1124.778
15,4,345.8738
15,5,598.541
15,6,626.1548
15,7,851.8228
15,8,694.0088
15,9,535.0244
15,10,1046.119
15,11,405.0906
15,12,1530.57
15,13,700.8213
15,14,1500.774
15,15,0.0
15,16,1039.77
15,17,1018.399
15,18,987.8645
15,19,1280.737
15,20,728.3743
16,1,426.1877
16,2,999.5005
16,3,1368.267
16,4,830.3635
16,5,700.4368
16,6,922.3181
16,7,423.7053
16,8,1066.563
16,9,936.2502
16,10,305.3132
16,11,674.479
16,12,1661.778
16,13,348.2725
16,14,675.7505
16,15,1039.77
16,16,0.0
16,17,1178.439
16,18,1095.657
16,19,1304.043
16,20,918.5615
17,1,756.1987
17,2,179.2426
17,3,190.3157
17,4,720.4687
17,5,578.3286
17,6,409.3542
17,7,1362.874
17,8,1625.87
17,9,489.5645
17,10,1417.072
17,11,1096.712
17,12,2453.352
17,13,955.6191
17,14,1098.282
17,15,1018.399
17,16,1178.439
17,17,0.0
17,18,84.3365
17,19,2143.565
17,20,328.7515
18,1,672.5906
18,2,96.2744
18,3,274.3105
18,4,675.3437
18,5,512.3965
18,6,365.6853
18,7,1288.966
18,8,1574.822
18,9,453.2583
18,10,1337.648
18,11,1038.645
18,12,2396.794
18,13,879.9795
18,14,1021.611
18,15,987.8645
18,16,1095.657
18,17,84.3365
18,18,0.0
18,19,2082.316
18,20,273.4106
19,1,1590.224
19,2,1999.584
19,3,2299.429
19,4,1447.104
19,5,1570.725
19,6,1743.432
19,7,895.0908
19,8,593.4216
19,9,1682.489
19,10,1017.332
19,11,1048.539
19,12,358.3762
19,13,1265.573
19,14,1977.613
19,15,1280.737
19,16,1304.043
19,17,2143.565
19,18,2082.316
19,19,0.0
19,20,1814.83
20,1,527.3008
20,2,210.7656
20,3,494.2224
20,4,403.8657
20,5,255.6551
20,6,104.6478
20,7,1049.266
20,8,1301.511
20,9,198.9058
20,10,1125.041
20,11,768.1641
20,12,2125.512
20,13,651.1179
20,14,1015.165
20,15,728.3743
20,16,918.5615
20,17,328.7515
20,18,273.4106
20,19,1814.83
20,20,0.0
